Date,Day_of_the_week,App,Minutes,Category
8/25,Friday,INSTAGRAM,88,Social Media
8/25,Friday,SNAPCHAT,61,Social Media
8/25,Friday,TIKTOK,58,Entertainment
8/25,Friday,MESSAGES,17,Other
8/26,Saturday,TIKTOK,134,Entertainment
8/26,Saturday,INSTAGRAM,47,Social Media
8/26,Saturday,SNAPCHAT,39,Social Media
8/26,Saturday,SAFARI,12,Education
8/26,Saturday,MESSAGES,6,Other
8/27,Sunday,TIKTOK,67,Entertainment
8/27,Sunday,INSTAGRAM,24,Social Media
8/27,Sunday,SNAPCHAT,18,Social Media
8/27,Sunday,MESSAGES,16,Other
8/27,Sunday,SAFARI,12,Education
8/28,Monday,TIKTOK,92,Entertainment
8/28,Monday,INSTAGRAM,38,Social Media
8/28,Monday,SPOTIFY,28,Other
8/28,Monday,SNAPCHAT,20,Social Media
8/28,Monday,MESSAGES,20,Other
8/28,Monday,SAFARI,10,Education
8/29,Tuesday,TIKTOK,95,Entertainment
8/29,Tuesday,SNAPCHAT,30,Social Media
8/29,Tuesday,INSTAGRAM,27,Social Media
8/29,Tuesday,MESSAGES,14,Other
8/30,Wednesday,TIKTOK,96,Entertainment
8/30,Wednesday,INSTAGRAM,39,Social Media
8/30,Wednesday,SNAPCHAT,29,Social Media
8/30,Wednesday,MESSAGES,23,Other
8/31,Thursday,INSTAGRAM,20,Social Media
8/31,Thursday,SETTINGS,20,Other
8/31,Thursday,SNAPCHAT,8,Social Media
8/31,Thursday,TIKTOK,8,Entertainment
